"","term","mean","median","lower","upper","sd","ran_val","group","level"
"1","weather_Rainy",-198915.865720888,-199071.148683877,-247943.358199944,-148801.686612204,75281.4222177253,"fixed",NA,NA
"2","weather_Cloudy",-164610.621661496,-166049.970399273,-213224.66488463,-115009.121824522,75337.2110934045,"fixed",NA,NA
"3","track_condition_Firm",44214.8019464158,44224.2352586767,41118.8851796409,47219.330913901,4548.360868209,"fixed",NA,NA
"4","race_date",88.9938587684518,88.9532488697261,85.6661949632212,92.3605006560146,4.888664600304,"fixed",NA,NA
"5","favorite_odds",-89403.4691353193,-88922.2394455401,-99195.5072462309,-78726.7571321641,15450.7687620898,"fixed",NA,NA
"6","distance_id",-9960.40216468533,-9885.94222656384,-16640.863093724,-2940.76221598087,10580.07822732,"fixed",NA,NA
"7","purse_usa",278677.747648419,277633.270942249,259268.934565204,297737.270735756,29104.1257732428,"fixed",NA,NA
"8","all_NY",-19153.3477038285,-18899.7704580079,-24199.2614511632,-14432.8519880174,7174.38943030648,"fixed",NA,NA
"9","race_type_Allowance",-12850.4343004193,-13137.5113005052,-19967.9809494769,-5555.78623469542,10752.5823772887,"fixed",NA,NA
"10","race_type_Claiming",-40024.1135192443,-39921.7503354755,-46950.5112429809,-33228.9403202609,10009.3492896744,"fixed",NA,NA
"11","race_type_Maiden_Claiming",-16049.6472513551,-16235.1550532705,-23118.6650119266,-8834.47837787,10588.084516276,"fixed",NA,NA
"12","race_type_Maiden_Special_Weight",13665.4551495244,13731.352026719,6507.05272748041,20830.059250085,10756.9727666677,"fixed",NA,NA
"13","age_restriction_02",-81741.5318431528,-81779.2470377325,-88928.8557637089,-74578.2175236669,10980.3484014525,"fixed",NA,NA
"14","age_restriction_03",343.666669425582,597.841492594182,-7294.32774222237,7966.24293357342,11097.4948280837,"fixed",NA,NA
"15","sex_restriction_2",-12651.4944938217,-12685.9554409269,-16550.2254855747,-8713.98009996408,5970.32064454219,"fixed",NA,NA
"16","sex_restriction_3",-14041.7407064714,-14043.2228439674,-19542.9368992803,-8358.87678058632,8558.8275790546,"fixed",NA,NA
"17","surface_D",-54638.8166824873,-54396.0667037745,-60289.509012025,-49026.7865533878,8690.39388589824,"fixed",NA,NA
"18","number_of_runners_2",-946814.534271151,-948005.758442602,-983755.07606693,-910064.209657977,55687.571094173,"fixed",NA,NA
"19","number_of_runners_3",-719638.42612729,-721004.304811451,-756235.106360295,-685790.976420196,52082.8051981039,"fixed",NA,NA
"20","number_of_runners_5",-457676.017508293,-458307.710912699,-493383.549321431,-426089.524016385,50068.3635550404,"fixed",NA,NA
"21","number_of_runners_6",-380505.218482035,-381442.229541888,-414310.687797402,-349186.978342442,49486.7246690539,"fixed",NA,NA
"22","number_of_runners_7",-299603.198944095,-300063.908796556,-332835.436613357,-267997.70873641,49193.9682311817,"fixed",NA,NA
